#sample: Merged
# data
# dataset2.dat
# dataset1.dat
# dataset3.dat
# q  I  sigma
3.330077e-01 1.533766e-02 2.482624e-04
3.371021e-01 1.511009e-02 2.613555e-04
3.410277e-01 1.506359e-02 2.628607e-04
3.449116e-01 1.567035e-02 2.651772e-04
3.498448e-01 1.520056e-02 2.213262e-04
3.550262e-01 1.506834e-02 3.075513e-04
3.589706e-01 1.461807e-02 3.371429e-04
3.627917e-01 1.496567e-02 3.129314e-04
3.680858e-01 1.440046e-02 2.526654e-04
3.730968e-01 1.430437e-02 2.908855e-04
3.771692e-01 1.317676e-02 2.557427e-04
3.818341e-01 1.332276e-02 2.189180e-04
3.868082e-01 1.318400e-02 2.638764e-04
3.919480e-01 1.283067e-02 2.357575e-04
3.970710e-01 1.242707e-02 2.432727e-04
4.018715e-01 1.215454e-02 2.059711e-04
4.067826e-01 1.227096e-02 2.633420e-04
4.119457e-01 1.120568e-02 2.083072e-04
4.169748e-01 1.026228e-02 2.555723e-04
4.218794e-01 1.008895e-02 2.159074e-04
4.281118e-01 1.002918e-02 2.117434e-04
4.339959e-01 9.152380e-03 2.147736e-04
4.389127e-01 8.475081e-03 2.707940e-04
4.442205e-01 8.209152e-03 2.073401e-04
4.498261e-01 7.172065e-03 2.299601e-04
4.560708e-01 7.273376e-03 2.302961e-04
4.618246e-01 7.011078e-03 2.162896e-04
4.682288e-01 6.806259e-03 2.297729e-04
4.739482e-01 6.412807e-03 2.156944e-04
4.800543e-01 6.421542e-03 2.578025e-04
4.858091e-01 5.938393e-03 2.456504e-04
4.922000e-01 6.180192e-03 2.553521e-04
4.980254e-01 5.867975e-03 2.243247e-04
5.040000e-01 6.065388e-03 2.782651e-04
5.095741e-01 5.670713e-03 1.900866e-04
5.180262e-01 5.776515e-03 2.000589e-04
5.240000e-01 5.774066e-03 3.008321e-04
5.300163e-01 5.994421e-03 2.116846e-04
5.382744e-01 6.243307e-03 2.288809e-04
5.440000e-01 5.743476e-03 2.887595e-04
5.499294e-01 6.271623e-03 2.112951e-04
5.581727e-01 6.819287e-03 2.165950e-04
5.640000e-01 7.132189e-03 2.901323e-04
5.700360e-01 6.661619e-03 2.146059e-04
5.781108e-01 6.578638e-03 2.077678e-04
5.860596e-01 7.322790e-03 2.091565e-04
5.937826e-01 7.082383e-03 1.985228e-04
6.017961e-01 7.904814e-03 2.321781e-04
6.102078e-01 7.614179e-03 2.193192e-04
6.178257e-01 7.400731e-03 2.077535e-04
6.262378e-01 7.472206e-03 2.197019e-04
6.336496e-01 7.356675e-03 2.332361e-04
6.424349e-01 7.583885e-03 2.020115e-04
6.496186e-01 6.647764e-03 2.172466e-04
6.582932e-01 6.637762e-03 2.051061e-04
6.660700e-01 6.538059e-03 2.321876e-04
6.737135e-01 6.080726e-03 2.184321e-04
6.818876e-01 5.754950e-03 2.215175e-04
6.896516e-01 5.410397e-03 2.075057e-04
6.978689e-01 5.308037e-03 1.966362e-04
7.081325e-01 4.819618e-03 1.765965e-04
7.182041e-01 4.440519e-03 2.349857e-04
7.258305e-01 4.148346e-03 2.442227e-04
7.340155e-01 3.587728e-03 2.232899e-04
7.433950e-01 3.542002e-03 1.673624e-04
7.540400e-01 3.112975e-03 2.100281e-04
7.643128e-01 2.699014e-03 1.755379e-04
7.736184e-01 2.328033e-03 1.912892e-04
7.820173e-01 1.997328e-03 2.057983e-04
7.921286e-01 2.019287e-03 1.771665e-04
8.020935e-01 1.418703e-03 2.212350e-04
8.113569e-01 1.925915e-03 1.685284e-04
8.243457e-01 1.549448e-03 1.646669e-04
8.342260e-01 1.718772e-03 2.031026e-04
8.442821e-01 1.485121e-03 1.995267e-04
8.545379e-01 1.571218e-03 2.002153e-04
8.670081e-01 1.206200e-03 2.322862e-04
8.746940e-01 1.075672e-03 2.700308e-04
8.877519e-01 7.375956e-04 2.611707e-04
8.975512e-01 1.309073e-03 2.438240e-04
9.102572e-01 1.110853e-03 1.942250e-04
9.223157e-01 6.475671e-04 2.123349e-04
9.324283e-01 1.533923e-03 2.170544e-04
9.453038e-01 1.014678e-03 1.773914e-04
9.579330e-01 1.093253e-03 2.162676e-04
9.696855e-01 1.143519e-03 1.726524e-04
9.826346e-01 1.536376e-03 2.111783e-04
9.948663e-01 1.519458e-03 1.729122e-04
1.007078e+00 1.209072e-03 1.944701e-04
1.019895e+00 1.534028e-03 1.602615e-04
1.032327e+00 1.646894e-03 2.017322e-04
1.045254e+00 1.552421e-03 1.432597e-04
1.060389e+00 1.578770e-03 1.479213e-04
1.072221e+00 1.615020e-03 1.613762e-04
1.084364e+00 1.626915e-03 1.501983e-04
1.099415e+00 2.111133e-03 1.536247e-04
1.114811e+00 1.958252e-03 1.572008e-04
1.127650e+00 1.913172e-03 1.819032e-04
1.139886e+00 2.494448e-03 1.649293e-04
1.154972e+00 2.297549e-03 1.631818e-04
1.170639e+00 2.642933e-03 1.645232e-04
1.184548e+00 3.185812e-03 1.611612e-04
1.200156e+00 3.398634e-03 1.664741e-04
1.214637e+00 3.568665e-03 1.761604e-04
1.229892e+00 4.152958e-03 1.647744e-04
1.245326e+00 4.468044e-03 1.827785e-04
1.262855e+00 5.171171e-03 1.612153e-04
1.279981e+00 5.735072e-03 1.787106e-04
1.294737e+00 6.114499e-03 1.920373e-04
1.309474e+00 6.539932e-03 1.834836e-04
1.326984e+00 7.028081e-03 1.566974e-04
1.345261e+00 8.207524e-03 1.884565e-04
1.361769e+00 8.715773e-03 1.705724e-04
1.379359e+00 9.154934e-03 2.221721e-04
1.397501e+00 9.562380e-03 2.120097e-04
1.414258e+00 9.570817e-03 2.891198e-04
1.433877e+00 1.012200e-02 2.455983e-04
1.450402e+00 1.062786e-02 2.579739e-04
1.467355e+00 1.044577e-02 2.130645e-04
1.487042e+00 1.035803e-02 2.265999e-04
1.507334e+00 1.071238e-02 2.260838e-04
1.524942e+00 1.025775e-02 2.769965e-04
1.541875e+00 1.022329e-02 2.166018e-04
1.562531e+00 9.810894e-03 2.088510e-04
1.581681e+00 9.429326e-03 2.123757e-04
1.603140e+00 9.013224e-03 2.253700e-04
1.623274e+00 8.516775e-03 2.232865e-04
1.642771e+00 8.675747e-03 2.124261e-04
1.664775e+00 8.117185e-03 1.901311e-04
1.687256e+00 7.271300e-03 2.306983e-04
1.706992e+00 7.789754e-03 2.346721e-04
1.729674e+00 7.577625e-03 2.150681e-04
1.752249e+00 6.864428e-03 2.396713e-04
1.772289e+00 6.790346e-03 2.365441e-04
1.795509e+00 6.026809e-03 2.249025e-04
1.818346e+00 5.637244e-03 2.534596e-04
1.840599e+00 5.376122e-03 2.117184e-04
1.864944e+00 4.545868e-03 2.187024e-04
1.889096e+00 3.836421e-03 2.247662e-04
1.912159e+00 3.278182e-03 2.391916e-04
1.935006e+00 2.854414e-03 2.216580e-04
1.959997e+00 2.791610e-03 2.260693e-04
1.983457e+00 1.707371e-03 2.632826e-04
2.008811e+00 1.119631e-03 3.388671e-04
2.035504e+00 7.849348e-04 3.085928e-04
2.062779e+00 8.249502e-04 2.329399e-04
2.089627e+00 8.975963e-04 2.531108e-04
2.116264e+00 3.501443e-04 2.203140e-04
2.142826e+00 5.015675e-04 2.080759e-04
2.170127e+00 6.152158e-04 2.047167e-04
2.196035e+00 9.998605e-05 2.221253e-04
2.221989e+00 3.890003e-04 2.010116e-04
2.252612e+00 6.617946e-04 2.046588e-04
2.281409e+00 5.411444e-04 2.172162e-04
